#--------
# This file defines the samples used in the analysis 
# 
#  Format 
# Group ID | Group Name                | Sample ID         | Sample Name                                   | CrossSection(pb) | UpperError(pb) | LowerError(pb)

TT         | t\bar{t} + \textup{Jets}  | TTJets            | t\bar{t} + \textup{Jets}                      | 831.76           | 54.84          | 64.26
ST         | \textup{Single} t         | SingleTbar_TW     | \textup{Single}\bar{t} (tW\textup{channel})   | 35.85            | 2.60           | 2.60
ST         | \textup{Single} t         | SingleT_TW        | \textup{Single}t (tW\textup{channel})         | 35.85            | 2.60           | 2.60
ST         | \textup{Single} t         | SingleT_T         | \textup{Single}t (t \textup{channel})         | 70.69            | 2.94           | 2.51
ST         | \textup{Single} t         | SingleT_S         | \textup{Single}t (s \textup{channel})         | 10.32            | 0.40           | 0.36
SB         | \textup{Single Boson}     | WJets_HT100_200   | W+\textup{Jets} ( H_{T}\in [ 100, 200 ) )     | 1345             | 1.2            | 1.2
SB         | \textup{Single Boson}     | WJets_HT200_400   | W+\textup{Jets} ( H_{T}\in [ 200, 400 ) )     | 359.7            | 0.2            | 0.2
SB         | \textup{Single Boson}     | WJets_HT400_600   | W+\textup{Jets} ( H_{T}\in [ 400, 600 ) )     | 48.91            | 0.072          | 0.072
SB         | \textup{Single Boson}     | WJets_HT600_800   | W+\textup{Jets} ( H_{T}\in [ 600, 800 ) )     | 12.05            | 0.0073         | 0.0073
SB         | \textup{Single Boson}     | WJets_HT800_1200  | W+\textup{Jets} ( H_{T}\in [ 800, 1200 ) )    | 5.501            | 0.0017         | 0.0017
SB         | \textup{Single Boson}     | WJets_HT1200_2500 | W+\textup{Jets} ( H_{T}\in [ 1200, 2500 ) )   | 1.329            | 0.0025         | 0.0025
SB         | \textup{Single Boson}     | WJets_HT2500_Inf  | W+\textup{Jets} ( H_{T}\in [ 2500, \infty ) ) | 0.03216          | 0.000104       | 0.000104
SB         | \textup{Single Boson}     | ZJets_HT100_200   | Z+\textup{Jets} ( H_{T}\in [ 100, 200 ) )     | 147.40           | 0.09           | 0.09
SB         | \textup{Single Boson}     | ZJets_HT200_400   | Z+\textup{Jets} ( H_{T}\in [ 200, 400 ) )     | 40.99            | 0.04           | 0.04
SB         | \textup{Single Boson}     | ZJets_HT400_600   | Z+\textup{Jets} ( H_{T}\in [ 400, 600 ) )     | 5.678            | 0.005          | 0.005
SB         | \textup{Single Boson}     | ZJets_HT600_Inf   | Z+\textup{Jets} ( H_{T}\in [ 600, \infty ) )  | 2.189            | 0.002          | 0.002
DB         | \textup{DiBoson}          | WW                | WW                                            | 118.7            | 2.97           | 2.61
DB         | \textup{DiBoson}          | WZ                | WZ                                            | 49.75            | 3.83           | 2.99
DB         | \textup{DiBoson}          | ZZ                | ZZ                                            | 16.91            | 0.54           | 0.41
TTV        | t\bar{t} + \textup{Boson} | TTW_Lepton        | t\bar{t} + ( W\rightarrow l\nu )              | 0.2043           | 0.0020         | 0.0020
TTV        | t\bar{t} + \textup{Boson} | TTW_Quark         | t\bar{t} + ( W\rightarrow qq )                | 0.4062           | 0.0021         | 0.0021
TTV        | t\bar{t} + \textup{Boson} | TTZ_Lepton        | t\bar{t} + ( Z\rightarrow l\nu)               | 0.2529           | 0.0004         | 0.0004
TTV        | t\bar{t} + \textup{Boson} | TTZ_Quark         | t\bar{t} + ( Z\rightarrow qq)                 | 0.5297           | 0.00008        | 0.00008
Signal     | \textup{Signal}           | Tstar_M0700       | t^{*}\bar{t}^{*} (M_{t^{*}} = 700)             | 1.0              | 0.0            | 0.0
Signal     | \textup{Signal}           | Tstar_M0800       | t^{*}\bar{t}^{*} (M_{t^{*}} = 800)             | 1.0              | 0.0            | 0.0
Signal     | \textup{Signal}           | Tstar_M0900       | t^{*}\bar{t}^{*} (M_{t^{*}} = 900)             | 1.0              | 0.0            | 0.0
Signal     | \textup{Signal}           | Tstar_M1000       | t^{*}\bar{t}^{*} (M_{t^{*}} = 1000)            | 1.0              | 0.0            | 0.0
Signal     | \textup{Signal}           | Tstar_M1100       | t^{*}\bar{t}^{*} (M_{t^{*}} = 1100)            | 1.0              | 0.0            | 0.0
Signal     | \textup{Signal}           | Tstar_M1200       | t^{*}\bar{t}^{*} (M_{t^{*}} = 1200)            | 1.0              | 0.0            | 0.0
Signal     | \textup{Signal}           | Tstar_M1300       | t^{*}\bar{t}^{*} (M_{t^{*}} = 1300)            | 1.0              | 0.0            | 0.0
Signal     | \textup{Signal}           | Tstar_M1400       | t^{*}\bar{t}^{*} (M_{t^{*}} = 1400)            | 1.0              | 0.0            | 0.0
Signal     | \textup{Signal}           | Tstar_M1500       | t^{*}\bar{t}^{*} (M_{t^{*}} = 1500)            | 1.0              | 0.0            | 0.0
Signal     | \textup{Signal}           | Tstar_M1600       | t^{*}\bar{t}^{*} (M_{t^{*}} = 1600)            | 1.0              | 0.0            | 0.0

# TT + Jets 
# Reference: https://twiki.cern.ch/twiki/bin/view/LHCPhysics/TtbarNNLO#Top_quark_pair_cross_sections_at

# Single Top production
# Reference:  https://twiki.cern.ch/twiki/bin/viewauth/CMS/SummaryTable1G25ns#Single_top

# Single Boson production
# K factor NOT included
# Reference https://twiki.cern.ch/twiki/bin/viewauth/CMS/SummaryTable1G25ns#W_jets

# Diboson production 
# K factor not included 
# References : http://arxiv.org/pdf/1405.2219v2.pdf
#              http://arxiv.org/pdf/1105.0020v1.pdf
#              http://arxiv.org/pdf/1408.5243v1.pdf

# TT pair + Boson 
# Reference: https://twiki.cern.ch/twiki/bin/viewauth/CMS/SummaryTable1G25ns#TT_X

